name,scenario,nodes,workers,messages,messagesinsystem,minmessage,maxmessage,ops,wbytes,rbytes,deletes,duration,opspersec
h1_01,1,2,60,1000000,1000,100,200,6000000,598096092,301048046,0,67502,88886.3
h1_02,1,2,60,1000000,1000,200,300,6000000,998134428,501067214,0,65664,91374.3
h1_03,1,2,60,1000000,1000,300,400,6000000,1398009956,701004978,0,69131,86791.7
h1_04,1,2,60,1000000,1000,400,500,6000000,1797983410,900991705,0,73670,81444.3
h1_05,1,2,60,1000000,1000,500,600,6000000,2197868878,1100934439,0,74732,80286.9
h1_06,1,2,60,1000000,1000,600,700,6000000,2598001436,1301000718,0,74419,80624.6
h1_07,1,2,60,1000000,1000,700,800,6000000,2997978448,1500989224,0,72876,82331.6
h1_08,1,2,60,1000000,1000,800,900,6000000,3397985630,1700992815,0,75327,79652.7
h1_09,1,2,60,1000000,1000,900,1000,6000000,3797937548,1900968774,0,76960,77962.6
h1_10,1,2,60,1000000,1000,1000,1100,6000000,4198002938,2101001469,0,82524,72706.1
h1_11,1,2,60,1000000,1000,1100,1200,6000000,4598146682,2301073341,0,82704,72547.9
h1_12,1,2,60,1000000,1000,1200,1300,6000000,4997967414,2500983707,0,80787,74269.4
h1_13,1,2,60,1000000,1000,1300,1400,6000000,5398066434,2701033217,0,88326,67930.2
h1_14,1,2,60,1000000,1000,1400,1500,6000000,5798014330,2901007165,0,87222,68790.0
h1_15,1,2,60,1000000,1000,1500,1600,6000000,6198047030,3101023515,0,89454,67073.6
h1_16,1,2,60,1000000,1000,1600,1700,6000000,6598003974,3301001987,0,93180,64391.5
h1_17,1,2,60,1000000,1000,1700,1800,6000000,6998085396,3501042698,0,92567,64817.9
h1_18,1,2,60,1000000,1000,1800,1900,6000000,7398001414,3701000707,0,101958,58847.8
h1_19,1,2,60,1000000,1000,1900,2000,6000000,7797940954,3900970477,0,94390,63566.1
h1_20,1,2,60,1000000,1000,2000,2100,6000000,8198068240,4101034120,0,92890,64592.5
h1_21,1,2,60,1000000,1000,2100,2200,6000000,8598167062,4301083531,0,105148,57062.4
h1_22,1,2,60,1000000,1000,2200,2300,6000000,8998121752,4501060876,0,97716,61402.4
h1_23,1,2,60,1000000,1000,2300,2400,6000000,9397892408,4700946204,0,105645,56794.0
h1_24,1,2,60,1000000,1000,2400,2500,6000000,9798049962,4901024981,0,105142,57065.7
h1_25,1,2,60,1000000,1000,2500,2600,6000000,10197957308,5100978654,0,101997,58825.3
h1_26,1,2,60,1000000,1000,2600,2700,6000000,10597954456,5300977228,0,106236,56478.0
h1_27,1,2,60,1000000,1000,2700,2800,6000000,10998000888,5501000444,0,110861,54121.8
h1_28,1,2,60,1000000,1000,2800,2900,6000000,11397949378,5700974689,0,108085,55511.9
h1_29,1,2,60,1000000,1000,2900,3000,6000000,11797961248,5900980624,0,114542,52382.5
h1_30,1,2,60,1000000,1000,3000,3100,6000000,12198060790,6101030395,0,121232,49491.9
h1_31,1,2,60,1000000,1000,3100,3200,6000000,12598166506,6301083253,0,111683,53723.5
h1_32,1,2,60,1000000,1000,3200,3300,6000000,12998050438,6501025219,0,121149,49525.8
h1_33,1,2,60,1000000,1000,3300,3400,6000000,13398055298,6701027649,0,121371,49435.2
h1_34,1,2,60,1000000,1000,3400,3500,6000000,13797976366,6900988183,0,137633,43594.2
h1_35,1,2,60,1000000,1000,3500,3600,6000000,14197800212,7100900106,0,144694,41466.8
h1_36,1,2,60,1000000,1000,3600,3700,6000000,14598110186,7301055093,0,133482,44949.9
h1_37,1,2,60,1000000,1000,3700,3800,6000000,14998054000,7501027000,0,141186,42497.1
h1_38,1,2,60,1000000,1000,3800,3900,6000000,15397983356,7700991678,0,132072,45429.8
h1_39,1,2,60,1000000,1000,3900,4000,6000000,15797931388,7900965694,0,131265,45709.1
h1_40,1,2,60,1000000,1000,4000,4100,6000000,16197812460,8100906230,0,154201,38910.3
h1_41,1,2,60,1000000,1000,4100,4200,6000000,16597985662,8300992831,0,149169,40222.8
h1_42,1,2,60,1000000,1000,4200,4300,6000000,16997997732,8500998866,0,154166,38919.1
h1_43,1,2,60,1000000,1000,4300,4400,6000000,17398049162,8701024581,0,161023,37261.8
h1_44,1,2,60,1000000,1000,4400,4500,6000000,17797705692,8900852846,0,177648,33774.7
h1_45,1,2,60,1000000,1000,4500,4600,6000000,18198001660,9101000830,0,191967,31255.4
h1_46,1,2,60,1000000,1000,4600,4700,6000000,18598074820,9301037410,0,190385,31515.1
h1_47,1,2,60,1000000,1000,4700,4800,6000000,18997906886,9500953443,0,199444,30083.6
h1_48,1,2,60,1000000,1000,4800,4900,6000000,19397956422,9700978211,0,207099,28971.7
h1_49,1,2,60,1000000,1000,4900,4000,6000000,17802733442,8903366721,0,180977,33153.4
h1_50,1,2,60,1000000,1000,5000,5100,6000000,20198038056,10101019028,0,206951,28992.4
