name,scenario,nodes,workers,messages,messagesinsystem,minmessage,maxmessage,ops,wbytes,rbytes,deletes,duration,opspersec
h1_01,1,2,60,1000000,1000,100,200,6000000,597935342,300967671,0,75180,79808.5
h1_02,1,2,60,1000000,1000,200,300,6000000,998000208,501000104,0,72326,82957.7
h1_03,1,2,60,1000000,1000,300,400,6000000,1397998492,700999246,0,68334,87804.0
h1_04,1,2,60,1000000,1000,400,500,6000000,1797881472,900940736,0,71951,83390.1
h1_05,1,2,60,1000000,1000,500,600,6000000,2198110196,1101055098,0,72674,82560.5
h1_06,1,2,60,1000000,1000,600,700,6000000,2598133164,1301066582,0,76721,78205.4
h1_07,1,2,60,1000000,1000,700,800,6000000,2997940438,1500970219,0,72350,82930.2
h1_08,1,2,60,1000000,1000,800,900,6000000,3397843210,1700921605,0,73163,82008.7
h1_09,1,2,60,1000000,1000,900,1000,6000000,3797878872,1900939436,0,74970,80032.0
h1_10,1,2,60,1000000,1000,1000,1100,6000000,4198017698,2101008849,0,74538,80495.9
h1_11,1,2,60,1000000,1000,1100,1200,6000000,4597975366,2300987683,0,76325,78611.2
h1_12,1,2,60,1000000,1000,1200,1300,6000000,4997934698,2500967349,0,76664,78263.6
h1_13,1,2,60,1000000,1000,1300,1400,6000000,5397990466,2700995233,0,76525,78405.7
h1_14,1,2,60,1000000,1000,1400,1500,6000000,5798204764,2901102382,0,79317,75645.8
h1_15,1,2,60,1000000,1000,1500,1600,6000000,6197988350,3100994175,0,80689,74359.6
h1_16,1,2,60,1000000,1000,1600,1700,6000000,6597864978,3300932489,0,80973,74098.8
h1_17,1,2,60,1000000,1000,1700,1800,6000000,6998088304,3501044152,0,82517,72712.3
h1_18,1,2,60,1000000,1000,1800,1900,6000000,7397970158,3700985079,0,81812,73338.9
h1_19,1,2,60,1000000,1000,1900,2000,6000000,7797967132,3900983566,0,83138,72169.2
h1_20,1,2,60,1000000,1000,2000,2100,6000000,8197989524,4100994762,0,83740,71650.3
h1_21,1,2,60,1000000,1000,2100,2200,6000000,8597963394,4300981697,0,85203,70420.1
h1_22,1,2,60,1000000,1000,2200,2300,6000000,8998020618,4501010309,0,85271,70363.9
h1_23,1,2,60,1000000,1000,2300,2400,6000000,9397906256,4700953128,0,86692,69210.5
h1_24,1,2,60,1000000,1000,2400,2500,6000000,9797926792,4900963396,0,85171,70446.5
h1_25,1,2,60,1000000,1000,2500,2600,6000000,10197945682,5100972841,0,88831,67544.0
h1_26,1,2,60,1000000,1000,2600,2700,6000000,10597933994,5300966997,0,87856,68293.6
h1_27,1,2,60,1000000,1000,2700,2800,6000000,10997839328,5500919664,0,88317,67937.1
h1_28,1,2,60,1000000,1000,2800,2900,6000000,11398003028,5701001514,0,89593,66969.5
h1_29,1,2,60,1000000,1000,2900,3000,6000000,11798164064,5901082032,0,89608,66958.3
h1_30,1,2,60,1000000,1000,3000,3100,6000000,12198093384,6101046692,0,89907,66735.6
h1_31,1,2,60,1000000,1000,3100,3200,6000000,12597987916,6300993958,0,90602,66223.7
h1_32,1,2,60,1000000,1000,3200,3300,6000000,12998211232,6501105616,0,91383,65657.7
h1_33,1,2,60,1000000,1000,3300,3400,6000000,13398065068,6701032534,0,91681,65444.3
h1_34,1,2,60,1000000,1000,3400,3500,6000000,13798028624,6901014312,0,92411,64927.3
h1_35,1,2,60,1000000,1000,3500,3600,6000000,14197864552,7100932276,0,92077,65162.9
h1_36,1,2,60,1000000,1000,3600,3700,6000000,14597874622,7300937311,0,93563,64127.9
h1_37,1,2,60,1000000,1000,3700,3800,6000000,14998000410,7501000205,0,93863,63923.0
h1_38,1,2,60,1000000,1000,3800,3900,6000000,15397826010,7700913005,0,94934,63201.8
h1_39,1,2,60,1000000,1000,3900,4000,6000000,15798017336,7901008668,0,95205,63021.9
h1_40,1,2,60,1000000,1000,4000,4100,6000000,16197808794,8100904397,0,96736,62024.5
h1_41,1,2,60,1000000,1000,4100,4200,6000000,16597998470,8300999235,0,100308,59815.8
h1_42,1,2,60,1000000,1000,4200,4300,6000000,16997839838,8500919919,0,99474,60317.3
h1_43,1,2,60,1000000,1000,4300,4400,6000000,17398007930,8701003965,0,100287,59828.3
